account_id,english_name,year,month,date,monthly_value
0960P,Owner(s),2025,1,2025-01-01,1.0
0960P,Owner(s),2025,2,2025-02-01,1.0
0960P,Owner(s),2025,3,2025-03-01,1.0
0961P,Manager(s),2025,1,2025-01-01,1.0
0961P,Manager(s),2025,2,2025-02-01,1.0
0961P,Manager(s),2025,3,2025-03-01,1.0
0962P,Sales Reps,2025,1,2025-01-01,3.1666666666666665
0962P,Sales Reps,2025,2,2025-02-01,3.0833333333333335
0962P,Sales Reps,2025,3,2025-03-01,3.0
0963P,F&I Sales Reps,2025,1,2025-01-01,1.8333333333333333
0963P,F&I Sales Reps,2025,2,2025-02-01,1.9166666666666667
0963P,F&I Sales Reps,2025,3,2025-03-01,2.0
0964P,Clerical / Other,2025,1,2025-01-01,1.1666666666666665
0964P,Clerical / Other,2025,2,2025-02-01,1.0
0964P,Clerical / Other,2025,3,2025-03-01,0.8333333333333333
0965PZ,Advisors,2025,1,2025-01-01,0.0
0965PZ,Advisors,2025,2,2025-02-01,0.0
0965PZ,Advisors,2025,3,2025-03-01,0.0
0966PZ,Technicians,2025,1,2025-01-01,0.0
0966PZ,Technicians,2025,2,2025-02-01,0.0
0966PZ,Technicians,2025,3,2025-03-01,0.0
0967P,Owner(s),2025,1,2025-01-01,0.0
0967P,Owner(s),2025,2,2025-02-01,0.0
0967P,Owner(s),2025,3,2025-03-01,0.0
0968P,Manager(s),2025,1,2025-01-01,1.0
0968P,Manager(s),2025,2,2025-02-01,1.0
0968P,Manager(s),2025,3,2025-03-01,1.0
0969P,Sales Reps.,2025,1,2025-01-01,2.25
0969P,Sales Reps.,2025,2,2025-02-01,2.25
0969P,Sales Reps.,2025,3,2025-03-01,2.25
0970P,F & I Sales Reps.,2025,1,2025-01-01,0.0
0970P,F & I Sales Reps.,2025,2,2025-02-01,0.0
0970P,F & I Sales Reps.,2025,3,2025-03-01,0.0
0971P,Clerical / Other,2025,1,2025-01-01,2.0833333333333335
0971P,Clerical / Other,2025,2,2025-02-01,2.1666666666666665
0971P,Clerical / Other,2025,3,2025-03-01,2.25
0972PZ,Apprentices,2025,1,2025-01-01,0.0
0972PZ,Apprentices,2025,2,2025-02-01,0.0
0972PZ,Apprentices,2025,3,2025-03-01,0.0
0974P,Owner(s),2025,1,2025-01-01,0.0
0974P,Owner(s),2025,2,2025-02-01,0.0
0974P,Owner(s),2025,3,2025-03-01,0.0
0975P,Manager(s),2025,1,2025-01-01,1.0
0975P,Manager(s),2025,2,2025-02-01,1.0
0975P,Manager(s),2025,3,2025-03-01,1.0
0976P,Advisors,2025,1,2025-01-01,2.0833333333333335
0976P,Advisors,2025,2,2025-02-01,2.1666666666666665
0976P,Advisors,2025,3,2025-03-01,2.25
0977P,Apprentices,2025,1,2025-01-01,2.0
0977P,Apprentices,2025,2,2025-02-01,2.0
0977P,Apprentices,2025,3,2025-03-01,2.0
0978P,Technicians,2025,1,2025-01-01,3.0
0978P,Technicians,2025,2,2025-02-01,3.083333333333333
0978P,Technicians,2025,3,2025-03-01,3.1666666666666665
0979P,Clerical / Other,2025,1,2025-01-01,3.0
0979P,Clerical / Other,2025,2,2025-02-01,3.0
0979P,Clerical / Other,2025,3,2025-03-01,3.0
0981P,Owner(s),2025,1,2025-01-01,0.0
0981P,Owner(s),2025,2,2025-02-01,0.0
0981P,Owner(s),2025,3,2025-03-01,0.0
0982P,Manager(s),2025,1,2025-01-01,1.0
0982P,Manager(s),2025,2,2025-02-01,1.0
0982P,Manager(s),2025,3,2025-03-01,1.0
0983P,Advisors,2025,1,2025-01-01,0.0
0983P,Advisors,2025,2,2025-02-01,0.0
0983P,Advisors,2025,3,2025-03-01,0.0
